fipstate,fipscty,naics,empflag,emp,est
53,001,------,,3817,398
53,001,11----,,199,14
53,001,115///,,199,14
53,001,1151//,,199,14
53,001,11511/,,199,14
53,001,115112,,7,5
53,001,115113,B,0,2
53,001,115114,,158,6
53,001,115115,A,0,1
53,001,22----,B,0,3
53,001,221///,B,0,3
53,001,2211//,B,0,3
53,001,22112/,B,0,3
53,001,221122,B,0,3
53,001,23----,,130,34
53,001,233///,,38,12
53,001,2332//,A,0,7
53,001,23321/,A,0,7
53,001,233210,A,0,7
53,001,2333//,B,0,5
53,001,23331/,A,0,1
53,001,233310,A,0,1
53,001,23332/,A,0,4
53,001,233320,A,0,4
53,001,234///,,32,4
53,001,2349//,,32,4
53,001,23491/,A,0,1
53,001,234910,A,0,1
53,001,23499/,A,0,3
53,001,234990,A,0,3
53,001,235///,,60,18
53,001,2351//,,18,4
53,001,23511/,,18,4
53,001,235110,,18,4
53,001,2352//,A,0,1
53,001,23521/,A,0,1
53,001,235210,A,0,1
53,001,2353//,A,0,3
53,001,23531/,A,0,3
53,001,235310,A,0,3
53,001,2355//,A,0,1
53,001,23551/,A,0,1
53,001,235510,A,0,1
53,001,2357//,A,0,2
53,001,23571/,A,0,2
53,001,235710,A,0,2
53,001,2358//,A,0,1
53,001,23581/,A,0,1
53,001,235810,A,0,1
53,001,2359//,,13,6
53,001,23593/,,13,6
53,001,235930,,13,6
53,001,31----,,1078,15
53,001,311///,,1046,10
53,001,3111//,A,0,1
53,001,31111/,A,0,1
53,001,311119,A,0,1
53,001,3112//,A,0,1
53,001,31122/,A,0,1
53,001,311223,A,0,1
53,001,3114//,,1009,5
53,001,31141/,F,0,3
53,001,311411,F,0,3
53,001,31142/,B,0,2
53,001,311421,B,0,2
53,001,3116//,B,0,2
53,001,31161/,B,0,2
53,001,311611,A,0,1
53,001,311615,A,0,1
53,001,3118//,A,0,1
53,001,31181/,A,0,1
53,001,311811,A,0,1
53,001,326///,A,0,1
53,001,3261//,A,0,1
53,001,32619/,A,0,1
53,001,326192,A,0,1
53,001,327///,A,0,2
53,001,3273//,A,0,2
53,001,32732/,A,0,2
53,001,327320,A,0,2
53,001,333///,A,0,2
53,001,3331//,A,0,2
53,001,33311/,A,0,2
53,001,333111,A,0,2
53,001,42----,,343,33
53,001,421///,C,0,13
53,001,4214//,A,0,1
53,001,42145/,A,0,1
53,001,421450,A,0,1
53,001,4218//,C,0,12
53,001,42182/,,154,10
53,001,421820,,154,10
53,001,42183/,A,0,1
53,001,421830,A,0,1
53,001,42184/,A,0,1
53,001,421840,A,0,1
53,001,422///,C,0,20
53,001,4224//,B,0,3
53,001,42248/,B,0,2
53,001,422480,B,0,2
53,001,42249/,A,0,1
53,001,422490,A,0,1
53,001,4225//,,57,8
53,001,42251/,B,0,7
53,001,422510,B,0,7
53,001,42259/,A,0,1
53,001,422590,A,0,1
53,001,4226//,A,0,2
53,001,42269/,A,0,2
53,001,422690,A,0,2
53,001,4227//,A,0,2
53,001,42271/,A,0,1
53,001,422710,A,0,1
53,001,42272/,A,0,1
53,001,422720,A,0,1
53,001,4229//,,68,5
53,001,42291/,,68,5
53,001,422910,,68,5
53,001,44----,,522,61
53,001,441///,,59,7
53,001,4411//,A,0,2
53,001,44111/,A,0,1
53,001,441110,A,0,1
53,001,44112/,A,0,1
53,001,441120,A,0,1
53,001,4413//,B,0,5
53,001,44131/,B,0,3
53,001,441310,B,0,3
53,001,44132/,B,0,2
53,001,441320,B,0,2
53,001,442///,A,0,2
53,001,4421//,A,0,1
53,001,44211/,A,0,1
53,001,442110,A,0,1
53,001,4422//,A,0,1
53,001,44221/,A,0,1
53,001,442210,A,0,1
53,001,443///,A,0,2
53,001,4431//,A,0,2
53,001,44311/,A,0,1
53,001,443111,A,0,1
53,001,44312/,A,0,1
53,001,443120,A,0,1
53,001,444///,,118,13
53,001,4441//,,31,4
53,001,44413/,A,0,2
53,001,444130,A,0,2
53,001,44419/,A,0,2
53,001,444190,A,0,2
53,001,4442//,,87,9
53,001,44422/,,87,9
53,001,444220,,87,9
53,001,445///,C,0,7
53,001,4451//,,153,5
53,001,44511/,,153,5
53,001,445110,,153,5
53,001,4453//,A,0,2
53,001,44531/,A,0,2
53,001,445310,A,0,2
53,001,446///,,40,3
53,001,4461//,,40,3
53,001,44611/,,40,3
53,001,446110,,40,3
53,001,447///,,85,10
53,001,4471//,,85,10
53,001,44711/,B,0,6
53,001,447110,B,0,6
53,001,44719/,A,0,4
53,001,447190,A,0,4
53,001,448///,,14,4
53,001,4481//,A,0,3
53,001,44811/,A,0,1
53,001,448110,A,0,1
53,001,44819/,A,0,2
53,001,448190,A,0,2
53,001,4483//,A,0,1
53,001,44831/,A,0,1
53,001,448310,A,0,1
53,001,451///,A,0,2
53,001,4511//,A,0,1
53,001,45112/,A,0,1
53,001,451120,A,0,1
53,001,4512//,A,0,1
53,001,45121/,A,0,1
53,001,451211,A,0,1
53,001,452///,A,0,1
53,001,4529//,A,0,1
53,001,45299/,A,0,1
53,001,452990,A,0,1
53,001,453///,,13,6
53,001,4531//,,7,3
53,001,45311/,,7,3
53,001,453110,,7,3
53,001,4532//,A,0,2
53,001,45322/,A,0,2
53,001,453220,A,0,2
53,001,4539//,A,0,1
53,001,45392/,A,0,1
53,001,453920,A,0,1
53,001,454///,,12,4
53,001,4543//,,12,4
53,001,45431/,A,0,2
53,001,454311,A,0,1
53,001,454312,A,0,1
53,001,45439/,A,0,2
53,001,454390,A,0,2
53,001,48----,,152,54
53,001,484///,C,0,51
53,001,4841//,B,0,18
53,001,48411/,B,0,10
53,001,484110,B,0,10
53,001,48412/,,14,8
53,001,484121,,14,8
53,001,4842//,,89,33
53,001,48421/,A,0,1
53,001,484210,A,0,1
53,001,48422/,B,0,14
53,001,484220,B,0,14
53,001,48423/,,67,18
53,001,484230,,67,18
53,001,492///,A,0,1
53,001,4921//,A,0,1
53,001,49211/,A,0,1
53,001,492110,A,0,1
53,001,493///,A,0,2
53,001,4931//,A,0,2
53,001,49313/,A,0,2
53,001,493130,A,0,2
53,001,51----,B,0,6
53,001,511///,B,0,2
53,001,5111//,B,0,2
53,001,51111/,B,0,2
53,001,511110,B,0,2
53,001,512///,A,0,1
53,001,5121//,A,0,1
53,001,51213/,A,0,1
53,001,512131,A,0,1
53,001,513///,A,0,3
53,001,5132//,A,0,1
53,001,51322/,A,0,1
53,001,513220,A,0,1
53,001,5133//,A,0,2
53,001,51331/,A,0,2
53,001,513310,A,0,2
53,001,52----,,136,24
53,001,522///,,97,11
53,001,5221//,B,0,10
53,001,52211/,B,0,8
53,001,522110,B,0,8
53,001,52212/,A,0,2
53,001,522120,A,0,2
53,001,5223//,B,0,1
53,001,52231/,B,0,1
53,001,522310,B,0,1
53,001,524///,,39,13
53,001,5241//,A,0,2
53,001,52412/,A,0,1
53,001,524127,A,0,1
53,001,52413/,A,0,1
53,001,524130,A,0,1
53,001,5242//,B,0,11
53,001,52421/,,34,10
53,001,524210,,34,10
53,001,52429/,A,0,1
53,001,524292,A,0,1
53,001,53----,B,0,14
53,001,531///,B,0,11
53,001,5311//,,13,7
53,001,53111/,,7,4
53,001,531110,,7,4
53,001,53113/,A,0,1
53,001,531130,A,0,1
53,001,53119/,A,0,2
53,001,531190,A,0,2
53,001,5312//,A,0,1
53,001,53121/,A,0,1
53,001,531210,A,0,1
53,001,5313//,A,0,3
53,001,53139/,A,0,3
53,001,531390,A,0,3
53,001,532///,A,0,3
53,001,5322//,A,0,3
53,001,53223/,A,0,2
53,001,532230,A,0,2
53,001,53229/,A,0,1
53,001,532292,A,0,1
53,001,54----,,63,17
53,001,541///,,63,17
53,001,5411//,,17,8
53,001,54111/,,17,8
53,001,541110,,17,8
53,001,5412//,A,0,3
53,001,54121/,A,0,3
53,001,541211,A,0,2
53,001,541219,A,0,1
53,001,5413//,B,0,1
53,001,54138/,B,0,1
53,001,541380,B,0,1
53,001,5416//,A,0,2
53,001,54161/,A,0,2
53,001,541611,A,0,2
53,001,5419//,A,0,3
53,001,54194/,A,0,2
53,001,541940,A,0,2
53,001,54199/,A,0,1
53,001,541990,A,0,1
53,001,56----,A,0,9
53,001,561///,A,0,7
53,001,5613//,A,0,1
53,001,56132/,A,0,1
53,001,561320,A,0,1
53,001,5615//,A,0,2
53,001,56151/,A,0,2
53,001,561510,A,0,2
53,001,5617//,A,0,4
53,001,56172/,A,0,2
53,001,561720,A,0,2
53,001,56173/,A,0,2
53,001,561730,A,0,2
53,001,562///,A,0,2
53,001,5621//,A,0,2
53,001,56211/,A,0,2
53,001,562111,A,0,1
53,001,562119,A,0,1
53,001,61----,A,0,2
53,001,611///,A,0,2
53,001,6111//,A,0,1
53,001,61111/,A,0,1
53,001,611110,A,0,1
53,001,6116//,A,0,1
53,001,61169/,A,0,1
53,001,611691,A,0,1
53,001,62----,,538,23
53,001,621///,,202,11
53,001,6211//,B,0,2
53,001,62111/,B,0,2
53,001,621111,B,0,2
53,001,6212//,B,0,3
53,001,62121/,B,0,3
53,001,621210,B,0,3
53,001,6213//,A,0,5
53,001,62131/,,7,4
53,001,621310,,7,4
53,001,62132/,A,0,1
53,001,621320,A,0,1
53,001,6214//,C,0,1
53,001,62149/,C,0,1
53,001,621498,C,0,1
53,001,622///,C,0,2
53,001,6221//,C,0,2
53,001,62211/,C,0,2
53,001,622110,C,0,2
53,001,623///,C,0,2
53,001,6231//,C,0,2
53,001,62311/,C,0,2
53,001,623110,C,0,2
53,001,624///,B,0,8
53,001,6241//,A,0,1
53,001,62411/,A,0,1
53,001,624110,A,0,1
53,001,6244//,B,0,7
53,001,62441/,B,0,7
53,001,624410,B,0,7
53,001,71----,,11,3
53,001,713///,,11,3
53,001,7139//,,11,3
53,001,71391/,A,0,2
53,001,713910,A,0,2
53,001,71395/,A,0,1
53,001,713950,A,0,1
53,001,72----,,373,31
53,001,721///,,33,5
53,001,7211//,,33,5
53,001,72111/,,33,5
53,001,721110,,33,5
53,001,722///,,340,26
53,001,7221//,,184,13
53,001,72211/,,184,13
53,001,722110,,184,13
53,001,7222//,,147,10
53,001,72221/,,147,10
53,001,722211,,147,10
53,001,7224//,,9,3
53,001,72241/,,9,3
53,001,722410,,9,3
53,001,81----,,139,47
53,001,811///,,38,13
53,001,8111//,B,0,11
53,001,81111/,A,0,6
53,001,811111,A,0,5
53,001,811113,A,0,1
53,001,81112/,A,0,3
53,001,811121,A,0,2
53,001,811122,A,0,1
53,001,81119/,A,0,2
53,001,811191,A,0,1
53,001,811192,A,0,1
53,001,8113//,A,0,2
53,001,81131/,A,0,2
53,001,811310,A,0,2
53,001,812///,,18,6
53,001,8121//,A,0,3
53,001,81211/,A,0,3
53,001,812112,A,0,3
53,001,8122//,A,0,3
53,001,81221/,A,0,2
53,001,812210,A,0,2
53,001,81222/,A,0,1
53,001,812220,A,0,1
53,001,813///,,83,28
53,001,8131//,,67,20
53,001,81311/,,67,20
53,001,813110,,67,20
53,001,8132//,A,0,1
53,001,81321/,A,0,1
53,001,813211,A,0,1
53,001,8134//,,6,3
53,001,81341/,,6,3
53,001,813410,,6,3
53,001,8139//,A,0,4
53,001,81391/,A,0,3
53,001,813910,A,0,3
53,001,81393/,A,0,1
53,001,813930,A,0,1
53,001,95----,A,0,1
53,001,99----,,13,7
53,003,------,,4132,443
53,003,11----,B,0,5
53,003,113///,B,0,4
53,003,1133//,B,0,4
53,003,11331/,B,0,4
53,003,113310,B,0,4
53,003,114///,A,0,1
53,003,1141//,A,0,1
53,003,11411/,A,0,1
53,003,114111,A,0,1
53,003,21----,B,0,1
53,003,212///,B,0,1
53,003,2123//,B,0,1
53,003,21231/,B,0,1
53,003,212319,B,0,1
53,003,22----,B,0,1
53,003,221///,B,0,1
53,003,2211//,B,0,1
53,003,22112/,B,0,1
53,003,221122,B,0,1
53,003,23----,,481,68
53,003,233///,B,0,23
53,003,2332//,B,0,17
53,003,23321/,B,0,16
53,003,233210,B,0,16
53,003,23322/,A,0,1
53,003,233220,A,0,1
53,003,2333//,,22,6
53,003,23332/,,22,6
53,003,233320,,22,6
53,003,234///,C,0,5
53,003,2341//,,198,3
53,003,23411/,,198,3
53,003,234110,,198,3
53,003,2349//,A,0,2
53,003,23491/,A,0,1
53,003,234910,A,0,1
53,003,23492/,A,0,1
53,003,234920,A,0,1
53,003,235///,,213,40
53,003,2351//,,36,6
53,003,23511/,,36,6
53,003,235110,,36,6
53,003,2352//,,21,5
53,003,23521/,,21,5
53,003,235210,,21,5
53,003,2353//,,58,6
53,003,23531/,,58,6
53,003,235310,,58,6
53,003,2354//,A,0,3
53,003,23541/,A,0,1
53,003,235410,A,0,1
53,003,23542/,A,0,1
53,003,235420,A,0,1
53,003,23543/,A,0,1
53,003,235430,A,0,1
53,003,2355//,,21,5
53,003,23551/,A,0,4
53,003,235510,A,0,4
53,003,23552/,A,0,1
53,003,235520,A,0,1
53,003,2356//,A,0,2
53,003,23561/,A,0,2
53,003,235610,A,0,2
53,003,2357//,,52,6
53,003,23571/,,52,6
53,003,235710,,52,6
53,003,2359//,,22,7
53,003,23592/,A,0,1
53,003,235920,A,0,1
53,003,23593/,A,0,3
53,003,235930,A,0,3
53,003,23594/,A,0,1
53,003,235940,A,0,1
53,003,23599/,A,0,2
53,003,235990,A,0,2
53,003,31----,,319,23
53,003,311///,B,0,4
53,003,3112//,A,0,1
53,003,31121/,A,0,1
53,003,311211,A,0,1
53,003,3113//,A,0,1
53,003,31133/,A,0,1
53,003,311330,A,0,1
53,003,3118//,B,0,2
53,003,31181/,B,0,2
53,003,311811,A,0,1
53,003,311812,B,0,1
53,003,313///,A,0,1
53,003,3133//,A,0,1
53,003,31331/,A,0,1
53,003,313311,A,0,1
53,003,321///,C,0,3
53,003,3211//,C,0,2
53,003,32111/,C,0,2
53,003,321113,C,0,2
53,003,3219//,A,0,1
53,003,32192/,A,0,1
53,003,321920,A,0,1
53,003,327///,A,0,1
53,003,3273//,A,0,1
53,003,32733/,A,0,1
53,003,327331,A,0,1
53,003,332///,B,0,5
53,003,3323//,A,0,1
53,003,33231/,A,0,1
53,003,332312,A,0,1
53,003,3327//,A,0,1
53,003,33271/,A,0,1
53,003,332710,A,0,1
53,003,3329//,A,0,3
53,003,33299/,A,0,3
53,003,332994,A,0,1
53,003,332999,A,0,2
53,003,333///,A,0,1
53,003,3332//,A,0,1
53,003,33329/,A,0,1
53,003,333298,A,0,1
53,003,334///,A,0,1
53,003,3345//,A,0,1
53,003,33451/,A,0,1
53,003,334510,A,0,1
53,003,336///,B,0,2
53,003,3366//,B,0,2
53,003,33661/,B,0,2
53,003,336612,B,0,2
53,003,337///,A,0,3
53,003,3371//,A,0,2
53,003,33711/,A,0,2
53,003,337110,A,0,2
53,003,3372//,A,0,1
53,003,33721/,A,0,1
53,003,337211,A,0,1
53,003,339///,A,0,2
53,003,3399//,A,0,2
53,003,33992/,A,0,1
53,003,339920,A,0,1
53,003,33999/,A,0,1
53,003,339999,A,0,1
53,003,42----,,156,13
53,003,421///,,96,9
53,003,4211//,A,0,1
53,003,42112/,A,0,1
53,003,421120,A,0,1
53,003,4214//,B,0,2
53,003,42142/,A,0,1
53,003,421420,A,0,1
53,003,42146/,B,0,1
53,003,421460,B,0,1
53,003,4216//,A,0,2
53,003,42161/,A,0,1
53,003,421610,A,0,1
53,003,42169/,A,0,1
53,003,421690,A,0,1
53,003,4217//,B,0,1
53,003,42171/,B,0,1
53,003,421710,B,0,1
53,003,4218//,A,0,2
53,003,42181/,A,0,1
53,003,421810,A,0,1
53,003,42183/,A,0,1
53,003,421830,A,0,1
53,003,4219//,B,0,1
53,003,42199/,B,0,1
53,003,421990,B,0,1
53,003,422///,,60,4
53,003,4224//,A,0,1
53,003,42249/,A,0,1
53,003,422490,A,0,1
53,003,4225//,B,0,1
53,003,42251/,B,0,1
53,003,422510,B,0,1
53,003,4228//,A,0,1
53,003,42281/,A,0,1
53,003,422810,A,0,1
53,003,4229//,B,0,1
53,003,42291/,B,0,1
53,003,422910,B,0,1
53,003,44----,,748,55
53,003,441///,,78,8
53,003,4411//,,18,4
53,003,44111/,A,0,1
53,003,441110,A,0,1
53,003,44112/,A,0,3
53,003,441120,A,0,3
53,003,4412//,B,0,2
53,003,44121/,B,0,1
53,003,441210,B,0,1
53,003,44122/,A,0,1
53,003,441229,A,0,1
53,003,4413//,B,0,2
53,003,44131/,A,0,1
53,003,441310,A,0,1
53,003,44132/,A,0,1
53,003,441320,A,0,1
53,003,442///,B,0,3
53,003,4421//,A,0,2
53,003,44211/,A,0,2
53,003,442110,A,0,2
53,003,4422//,A,0,1
53,003,44221/,A,0,1
53,003,442210,A,0,1
53,003,443///,A,0,2
53,003,4431//,A,0,2
53,003,44311/,A,0,1
53,003,443111,A,0,1
53,003,44312/,A,0,1
53,003,443120,A,0,1
53,003,444///,,105,7
53,003,4441//,B,0,6
53,003,44413/,A,0,1
53,003,444130,A,0,1
53,003,44419/,B,0,5
53,003,444190,B,0,5
53,003,4442//,A,0,1
53,003,44422/,A,0,1
53,003,444220,A,0,1
53,003,445///,,191,10
53,003,4451//,,156,6
53,003,44511/,C,0,5
53,003,445110,C,0,5
53,003,44512/,A,0,1
53,003,445120,A,0,1
53,003,4452//,B,0,3
53,003,44523/,A,0,1
53,003,445230,A,0,1
53,003,44529/,B,0,2
53,003,445299,B,0,2
53,003,4453//,A,0,1
53,003,44531/,A,0,1
53,003,445310,A,0,1
53,003,446///,,81,3
53,003,4461//,,81,3
53,003,44611/,,81,3
53,003,446110,,81,3
53,003,447///,,35,5
53,003,4471//,,35,5
53,003,44711/,B,0,4
53,003,447110,B,0,4
53,003,44719/,A,0,1
53,003,447190,A,0,1
53,003,448///,A,0,2
53,003,4481//,A,0,1
53,003,44814/,A,0,1
53,003,448140,A,0,1
53,003,4483//,A,0,1
53,003,44831/,A,0,1
53,003,448310,A,0,1
53,003,451///,A,0,4
53,003,4511//,A,0,4
53,003,45111/,A,0,1
53,003,451110,A,0,1
53,003,45112/,A,0,1
53,003,451120,A,0,1
53,003,45113/,A,0,2
53,003,451130,A,0,2
53,003,452///,C,0,1
53,003,4529//,C,0,1
53,003,45291/,C,0,1
53,003,452910,C,0,1
53,003,453///,B,0,8
53,003,4532//,A,0,2
53,003,45321/,A,0,1
53,003,453210,A,0,1
53,003,45322/,A,0,1
53,003,453220,A,0,1
53,003,4533//,A,0,4
53,003,45331/,A,0,4
53,003,453310,A,0,4
53,003,4539//,A,0,2
53,003,45393/,A,0,1
53,003,453930,A,0,1
53,003,45399/,A,0,1
53,003,453998,A,0,1
53,003,454///,B,0,2
53,003,4543//,B,0,2
53,003,45439/,B,0,2
53,003,454390,B,0,2
53,003,48----,B,0,17
53,003,481///,A,0,1
53,003,4812//,A,0,1
53,003,48121/,A,0,1
53,003,481219,A,0,1
53,003,483///,A,0,1
53,003,4832//,A,0,1
53,003,48321/,A,0,1
53,003,483211,A,0,1
53,003,484///,B,0,11
53,003,4841//,A,0,5
53,003,48411/,A,0,3
53,003,484110,A,0,3
53,003,48412/,A,0,2
53,003,484121,A,0,1
53,003,484122,A,0,1
53,003,4842//,,18,6
53,003,48421/,A,0,1
53,003,484210,A,0,1
53,003,48422/,,7,3
53,003,484220,,7,3
53,003,48423/,A,0,2
53,003,484230,A,0,2
53,003,487///,A,0,1
53,003,4872//,A,0,1
53,003,48721/,A,0,1
53,003,487210,A,0,1
53,003,492///,A,0,1
53,003,4922//,A,0,1
53,003,49221/,A,0,1
53,003,492210,A,0,1
53,003,493///,A,0,2
53,003,4931//,A,0,2
53,003,49313/,A,0,1
53,003,493130,A,0,1
53,003,49319/,A,0,1
53,003,493190,A,0,1
53,003,51----,,53,7
53,003,513///,B,0,6
53,003,5131//,A,0,1
53,003,51311/,A,0,1
53,003,513112,A,0,1
53,003,5133//,B,0,5
53,003,51331/,B,0,3
53,003,513310,B,0,3
53,003,51332/,A,0,1
53,003,513322,A,0,1
53,003,51333/,A,0,1
53,003,513330,A,0,1
53,003,514///,A,0,1
53,003,5141//,A,0,1
53,003,51419/,A,0,1
53,003,514191,A,0,1
53,003,52----,,114,21
53,003,522///,B,0,8
53,003,5221//,B,0,7
53,003,52211/,B,0,4
53,003,522110,B,0,4
53,003,52212/,B,0,3
53,003,522120,B,0,3
53,003,5222//,A,0,1
53,003,52222/,A,0,1
53,003,522220,A,0,1
53,003,523///,A,0,5
53,003,5231//,A,0,4
53,003,52312/,A,0,4
53,003,523120,A,0,4
53,003,5239//,A,0,1
53,003,52393/,A,0,1
53,003,523930,A,0,1
53,003,524///,,57,8
53,003,5242//,,57,8
53,003,52421/,,57,8
53,003,524210,,57,8
53,003,53----,B,0,22
53,003,531///,B,0,12
53,003,5311//,A,0,8
53,003,53111/,A,0,4
53,003,531110,A,0,4
53,003,53112/,A,0,1
53,003,531120,A,0,1
53,003,53113/,A,0,1
53,003,531130,A,0,1
53,003,53119/,A,0,2
53,003,531190,A,0,2
53,003,5312//,A,0,1
53,003,53121/,A,0,1
53,003,531210,A,0,1
53,003,5313//,A,0,3
53,003,53131/,A,0,1
53,003,531311,A,0,1
53,003,53132/,A,0,2
53,003,531320,A,0,2
53,003,532///,B,0,10
53,003,5322//,B,0,9
53,003,53221/,A,0,1
53,003,532210,A,0,1
53,003,53223/,A,0,5
53,003,532230,A,0,5
53,003,53229/,A,0,3
53,003,532291,A,0,1
53,003,532299,A,0,2
53,003,5323//,A,0,1
53,003,53231/,A,0,1
53,003,532310,A,0,1
53,003,54----,,168,33
53,003,541///,,168,33
53,003,5411//,,28,10
53,003,54111/,B,0,9
53,003,541110,B,0,9
53,003,54119/,A,0,1
53,003,541191,A,0,1
53,003,5412//,B,0,6
53,003,54121/,B,0,6
53,003,541211,A,0,2
53,003,541219,B,0,4
53,003,5413//,A,0,8
53,003,54131/,A,0,3
53,003,541310,A,0,3
53,003,54132/,A,0,1
53,003,541320,A,0,1
53,003,54133/,A,0,1
53,003,541330,A,0,1
53,003,54134/,A,0,1
53,003,541340,A,0,1
53,003,54137/,A,0,1
53,003,541370,A,0,1
53,003,54138/,A,0,1
53,003,541380,A,0,1
53,003,5415//,A,0,1
53,003,54151/,A,0,1
53,003,541511,A,0,1
53,003,5416//,A,0,1
53,003,54161/,A,0,1
53,003,541611,A,0,1
53,003,5417//,B,0,2
53,003,54171/,B,0,2
53,003,541710,B,0,2
53,003,5418//,A,0,1
53,003,54181/,A,0,1
53,003,541810,A,0,1
53,003,5419//,B,0,4
53,003,54192/,A,0,1
53,003,541921,A,0,1
53,003,54194/,B,0,2
53,003,541940,B,0,2
53,003,54199/,A,0,1
53,003,541990,A,0,1
53,003,55----,A,0,2
53,003,551///,A,0,2
53,003,5511//,A,0,2
53,003,55111/,A,0,2
53,003,551114,A,0,2
53,003,56----,,91,18
53,003,561///,B,0,16
53,003,5614//,B,0,4
53,003,56141/,A,0,1
53,003,561410,A,0,1
53,003,56142/,A,0,2
53,003,561421,A,0,1
53,003,561422,A,0,1
53,003,56144/,A,0,1
53,003,561440,A,0,1
53,003,5615//,A,0,1
53,003,56152/,A,0,1
53,003,561520,A,0,1
53,003,5617//,B,0,10
53,003,56171/,A,0,2
53,003,561710,A,0,2
53,003,56172/,A,0,4
53,003,561720,A,0,4
53,003,56173/,A,0,3
53,003,561730,A,0,3
53,003,56179/,A,0,1
53,003,561790,A,0,1
53,003,5619//,A,0,1
53,003,56199/,A,0,1
53,003,561990,A,0,1
53,003,562///,A,0,2
53,003,5621//,A,0,1
53,003,56211/,A,0,1
53,003,562111,A,0,1
53,003,5629//,A,0,1
53,003,56299/,A,0,1
53,003,562991,A,0,1
53,003,61----,C,0,5
53,003,611///,C,0,5
53,003,6111//,C,0,2
53,003,61111/,C,0,2
53,003,611110,C,0,2
53,003,6114//,A,0,1
53,003,61143/,A,0,1
53,003,611430,A,0,1
53,003,6116//,A,0,2
53,003,61161/,A,0,1
53,003,611610,A,0,1
53,003,61162/,A,0,1
53,003,611620,A,0,1
53,003,62----,,839,54
53,003,621///,,187,30
53,003,6211//,,101,15
53,003,62111/,,101,15
53,003,621111,C,0,14
53,003,621112,A,0,1
53,003,6212//,B,0,5
53,003,62121/,B,0,5
53,003,621210,B,0,5
53,003,6213//,B,0,8
53,003,62131/,A,0,5
53,003,621310,A,0,5
53,003,62132/,A,0,1
53,003,621320,A,0,1
53,003,62133/,A,0,1
53,003,621330,A,0,1
53,003,62139/,A,0,1
53,003,621399,A,0,1
53,003,6214//,A,0,1
53,003,62149/,A,0,1
53,003,621498,A,0,1
53,003,6215//,A,0,1
53,003,62151/,A,0,1
53,003,621511,A,0,1
53,003,622///,C,0,1
53,003,6221//,C,0,1
53,003,62211/,C,0,1
53,003,622110,C,0,1
53,003,623///,,244,8
53,003,6231//,C,0,3
53,003,62311/,C,0,3
53,003,623110,C,0,3
53,003,6232//,A,0,1
53,003,62321/,A,0,1
53,003,623210,A,0,1
53,003,6233//,B,0,3
53,003,62331/,B,0,3
53,003,623311,B,0,1
53,003,623312,A,0,2
53,003,6239//,A,0,1
53,003,62399/,A,0,1
53,003,623990,A,0,1
53,003,624///,C,0,15
53,003,6241//,B,0,7
53,003,62411/,A,0,1
53,003,624110,A,0,1
53,003,62412/,B,0,3
53,003,624120,B,0,3
53,003,62419/,B,0,3
53,003,624190,B,0,3
53,003,6243//,A,0,2
53,003,62431/,A,0,2
53,003,624310,A,0,2
53,003,6244//,,82,6
53,003,62441/,,82,6
53,003,624410,,82,6
53,003,71----,,106,8
53,003,711///,A,0,1
53,003,7115//,A,0,1
53,003,71151/,A,0,1
53,003,711510,A,0,1
53,003,713///,B,0,7
53,003,7131//,A,0,1
53,003,71312/,A,0,1
53,003,713120,A,0,1
53,003,7139//,,97,6
53,003,71391/,B,0,2
53,003,713910,B,0,2
53,003,71393/,A,0,1
53,003,713930,A,0,1
53,003,71395/,B,0,1
53,003,713950,B,0,1
53,003,71399/,A,0,2
53,003,713990,A,0,2
53,003,72----,,530,39
53,003,721///,,102,9
53,003,7211//,B,0,7
53,003,72111/,B,0,7
53,003,721110,B,0,7
53,003,7212//,A,0,1
53,003,72121/,A,0,1
53,003,721211,A,0,1
53,003,7213//,A,0,1
53,003,72131/,A,0,1
53,003,721310,A,0,1
53,003,722///,,428,30
53,003,7221//,,204,16
53,003,72211/,,204,16
53,003,722110,,204,16
53,003,7222//,,221,11
53,003,72221/,,221,11
53,003,722211,C,0,9
53,003,722213,A,0,2
53,003,7223//,A,0,1
53,003,72231/,A,0,1
53,003,722310,A,0,1
53,003,7224//,A,0,2
53,003,72241/,A,0,2
53,003,722410,A,0,2
53,003,81----,,210,43
53,003,811///,,28,12
53,003,8111//,,25,9
53,003,81111/,A,0,7
53,003,811111,A,0,6
53,003,811118,A,0,1
53,003,81112/,A,0,2
53,003,811121,A,0,2
53,003,8113//,A,0,1
53,003,81131/,A,0,1
53,003,811310,A,0,1
53,003,8114//,A,0,2
53,003,81143/,A,0,1
53,003,811430,A,0,1
53,003,81149/,A,0,1
53,003,811490,A,0,1
53,003,812///,,30,9
53,003,8121//,,19,6
53,003,81211/,,19,6
53,003,812112,,19,6
53,003,8122//,A,0,2
53,003,81221/,A,0,1
53,003,812210,A,0,1
53,003,81222/,A,0,1
53,003,812220,A,0,1
53,003,8129//,A,0,1
53,003,81293/,A,0,1
53,003,812930,A,0,1
53,003,813///,,152,22
53,003,8131//,,80,13
53,003,81311/,,80,13
53,003,813110,,80,13
53,003,8133//,B,0,2
53,003,81331/,B,0,2
53,003,813311,A,0,1
53,003,813312,A,0,1
53,003,8134//,B,0,3
53,003,81341/,B,0,3
53,003,813410,B,0,3
53,003,8139//,A,0,4
53,003,81391/,A,0,2
53,003,813910,A,0,2
53,003,81392/,A,0,1
53,003,813920,A,0,1
53,003,81399/,A,0,1
